published_at_utc,date_day,title,url,domain,source,sourceCountry,language
2025-10-22T08:15:00+00:00,2025-10-22,Analyst Says 55 % Chance Bitcoin Bull Run Isnt Over Yet – Here Why,https://www.newsbtc.com/bitcoin-news/analyst-55-chance-bitcoin-bull-run-over/,www.newsbtc.com,,,English
2025-10-22T11:00:00+00:00,2025-10-22,"Analysts compare Bitcoin to the Soybean crash , predict sharp moves ahead",https://www.fxstreet.com/cryptocurrencies/news/analysts-compare-bitcoin-to-the-soybean-crash-predict-sharp-moves-ahead-202510220725,www.fxstreet.com,,,English
2025-10-22T15:30:00+00:00,2025-10-22,Bitcoin Price Prediction Markets Are Flashing A Signal,https://bitcoinmagazine.com/markets/bitcoin-price-prediction-markets-signal,bitcoinmagazine.com,,,English
2025-10-22T17:15:00+00:00,2025-10-22,"Bitcoin Stuck Below $110 , 000 : How Much Upside Has BTC Left ?",https://www.benzinga.com/crypto/cryptocurrency/25/10/48360433/bitcoin-stuck-below-110000-how-much-upside-has-btc-left,www.benzinga.com,,,English
2025-10-22T08:15:00+00:00,2025-10-22,"Bitcoin Newbie Whales Now Sitting On $6 . 9 Billion In Losses , Most Since 2023",https://www.newsbtc.com/bitcoin-news/bitcoin-newbie-whales-6-9-billion-losses-2023/,www.newsbtc.com,,,English
2025-10-22T00:15:00+00:00,2025-10-22,"Bitcoin Prices Rise Above $114 , 000 As Risk Appetite Returns",https://www.forbes.com/sites/digital-assets/2025/10/21/bitcoin-prices-rise-above-114000-as-risk-appetite-returns/,www.forbes.com,,,English
2025-10-22T19:00:00+00:00,2025-10-22,Bitcoin whale shorting strategy explained : Bitcoin whale goes big with $227 million short - is a major correction around the corner ?,https://economictimes.indiatimes.com/news/international/us/bitcoin-whale-goes-big-with-227-million-short-is-a-major-correction-around-the-corner/articleshow/124746074.cms,economictimes.indiatimes.com,,,English
2025-10-22T00:30:00+00:00,2025-10-22,"Strategy Expands Bitcoin Holdings to 640 , 418 BTC With Latest Purchase",https://finance.yahoo.com/news/strategy-expands-bitcoin-holdings-640-121553111.html,finance.yahoo.com,,,English
2025-10-22T12:15:00+00:00,2025-10-22,"Peter Brandt Predicts $250K Bitcoin , Warns of Volatility Twist",https://www.coinspeaker.com/peter-brandt-bitcoin-250k-volatility-warning/,www.coinspeaker.com,,,English
2025-10-22T08:15:00+00:00,2025-10-22,BTC / USD Forex Signal 22 / 10 : Rally Losing Steam ( Chart ),https://www.dailyforex.com/forex-technical-analysis/2025/10/btcusd-forex-signal-22-october-2025/235838,www.dailyforex.com,,,English
2025-10-22T08:15:00+00:00,2025-10-22,"Gold Rotation Impact : Bitwise Warns Bitcoin Could Skyrocket To $242 , 000",https://www.newsbtc.com/bitcoin-news/gold-rotation-impact-bitwise-warns-bitcoin-could-skyrocket-to-242000/,www.newsbtc.com,,,English
2025-10-22T23:45:00+00:00,2025-10-22,BitcoinOS Raises $10M to Expand Institutional BTCFi Capabilities,https://finance.yahoo.com/news/bitcoinos-raises-10m-expand-institutional-153927624.html,finance.yahoo.com,,,English
2025-10-22T05:45:00+00:00,2025-10-22,Binance Founder CZ Predicts Bitcoin will Surpass Gold $29 . 67T Market Cap,https://finance.yahoo.com/news/binance-founder-cz-predicts-bitcoin-175938002.html,finance.yahoo.com,,,English
2025-10-22T15:45:00+00:00,2025-10-22,"Why Is Crypto Down Today ? – October 22 , 2025",https://finance.yahoo.com/news/why-crypto-down-today-october-145735344.html,finance.yahoo.com,,,English
2025-10-22T12:15:00+00:00,2025-10-22,Mining 1 BTC Could Fuel 61 Homes a Year – PepeNode Promotes a Greener Mining Approach as Funding Hits $1 . 9M,https://www.coinspeaker.com/pepenode-promotes-greener-mining-approach-funding-hits-1-9m/,www.coinspeaker.com,,,English
2025-10-22T21:00:00+00:00,2025-10-22,Gold rise paints a bullish picture for Bitcoin : Bitwise,https://www.fxstreet.com/cryptocurrencies/news/golds-rise-paints-a-bullish-picture-for-bitcoin-bitwise-202510222024,www.fxstreet.com,,,English
2025-10-22T06:15:00+00:00,2025-10-22,BlackRock helping Bitcoin whales transition their holdings toward ETFs,https://www.fxstreet.com/cryptocurrencies/news/blackrock-helping-bitcoin-whales-transition-their-holdings-toward-etfs-202510220440,www.fxstreet.com,,,English
2025-10-22T11:15:00+00:00,2025-10-22,"Citi Says  Buy  Struggling Strategy , Sees 61 % Upside In 12 Months",https://insidebitcoins.com/news/citi-says-buy-michael-saylors-struggling-strategy-sees-61-upside-on-181k-bitcoin-target,insidebitcoins.com,,,English
2025-10-22T06:15:00+00:00,2025-10-22,"Top 3 Price Prediction : Bitcoin , Ethereum , Ripple – BTC struggles below key resistance , ETH and XRP eye further weakness",https://www.fxstreet.com/cryptocurrencies/news/top-3-price-prediction-bitcoin-ethereum-ripple-btc-struggles-below-key-resistance-eth-and-xrp-eye-further-weakness-202510220343,www.fxstreet.com,,,English
2025-10-22T12:15:00+00:00,2025-10-22,"BTC , ETH ETFs See $477M Inflows as Liquidations Top $650M",https://www.coinspeaker.com/btc-eth-etfs-477m-inflows-650m-liquidations/,www.coinspeaker.com,,,English
2025-10-22T12:00:00+00:00,2025-10-22,Market Fear at 3 - Month Peak as Zcash Emerges From the Shadows : Crypto Daybook Americas,https://www.coindesk.com/daybook-us/2025/10/22/zcash-thrives-as-market-fear-hits-3-month-peak-crypto-daybook-americas,www.coindesk.com,,,English
2025-10-22T20:30:00+00:00,2025-10-22,"Crypto Markets Today : Bitcoin , Ether Drop as Selling Pressure Returns",https://finance.yahoo.com/news/crypto-markets-today-bitcoin-ether-120000970.html,finance.yahoo.com,,,English
2025-10-22T13:45:00+00:00,2025-10-22,"Bitcoin , Ethereum , and Solana Prediction by Deepseek : What the Best Crypto to Buy Now ?",https://bravenewcoin.com/partner/bitcoin-solana-ethereum-prediction-pepenode-best-crypto-to-buy,bravenewcoin.com,,,English
2025-10-22T06:00:00+00:00,2025-10-22,"Bitcoin OG , Who Profited from Trump China Tariffs , Now Holds $234M in BTC Short Position : Arkham",https://biztoc.com/x/a564177522f92857,biztoc.com,,,English
2025-10-22T14:15:00+00:00,2025-10-22,"Jim Cramer Calls Crypto  Due For A Push , But Bitcoin Price Means There A Catch",https://www.benzinga.com/crypto/cryptocurrency/25/10/48351002/jim-cramer-calls-crypto-due-for-a-push-but-bitcoins-price-means-theres-a-catch,www.benzinga.com,,,English
2025-10-22T11:00:00+00:00,2025-10-22,"Asia Top Stock Exchanges Crack Down on Crypto DATs , Blocking Listings",https://finance.yahoo.com/news/asia-top-stock-exchanges-crack-103215739.html,finance.yahoo.com,,,English
2025-10-22T02:15:00+00:00,2025-10-22,Strategy acquires 168 Bitcoin as it skips MSTR issuance for the third week in a row,https://finance.yahoo.com/news/strategy-acquires-168-bitcoin-skips-140759520.html,finance.yahoo.com,,,English
2025-10-22T05:45:00+00:00,2025-10-22,"Tom Lee Predicts $5 , 000 ETH If ETH / BTC Pair Breaks 0 . 087 Resistance",https://finance.yahoo.com/news/tom-lee-predicts-5-000-174300687.html,finance.yahoo.com,,,English
2025-10-22T12:00:00+00:00,2025-10-22,Asian Stock Exchanges Slam Door on Bitcoin Treasury Companies,https://finance.yahoo.com/news/asian-stock-exchanges-slam-door-112416845.html,finance.yahoo.com,,,English
